ChurnPropensity,ChurnRiskSegment
0.13262865497076023,Low
0.4759005847953216,Medium
0.24062573099415205,Low
0.49060526315789477,Medium
0.3115730994152047,Medium
0.47513450292397663,Medium
0.5279356725146198,Medium
0.1947076023391813,Low
0.6357076023391813,High
0.6669766081871346,High
0.300593567251462,Medium
0.19090058479532163,Low
0.8253040935672514,High
0.7769093567251462,High
0.6178216374269005,High
0.9560087719298246,High
0.4480584795321637,Medium
0.9423187134502924,High
0.3018654970760234,Medium
0.5249912280701754,Medium
0.17389181286549707,Low
0.1667017543859649,Low
0.09178654970760233,Low
0.6549883040935672,High
0.5912251461988305,Medium
0.4411754385964912,Medium
0.744704678362573,High
0.13410233918128656,Low
0.88,High
0.3904766081871345,Medium
0.8987397660818713,High
0.41599415204678364,Medium
0.46602631578947373,Medium
0.09199707602339181,Low
0.19747076023391813,Low
0.9206315789473685,High
0.32819590643274854,Medium
0.6343918128654971,High
0.6839005847953217,High
0.4883888888888889,Medium
0.27807602339181287,Low
0.7774795321637427,High
0.20542397660818712,Low
0.7737105263157895,High
0.4111198830409357,Medium
0.6960672514619883,High
0.22125730994152049,Low
0.35346783625731,Medium
0.6969005847953216,High
0.7492719298245614,High
0.678611111111111,High
0.5214298245614035,Medium
0.4662426900584795,Medium
0.39513450292397667,Medium
0.7318245614035088,High
0.5268947368421053,Medium
0.857078947368421,High
0.9149649122807018,High
0.34116374269005845,Medium
0.9526315789473685,High
0.749546783625731,High
0.7951929824561403,High
0.6772631578947368,High
0.3540526315789474,Medium
0.4599736842105263,Medium
0.3378859649122807,Medium
0.6585994152046784,High
0.548751461988304,Medium
0.4320643274853801,Medium
0.40565497076023393,Medium
0.21347076023391812,Low
0.44700584795321635,Medium
0.9143391812865497,High
0.5326608187134503,Medium
0.29241228070175435,Low
0.8541520467836257,High
0.5537602339181287,Medium
0.2856608187134503,Low
0.5230701754385965,Medium
0.42155263157894735,Medium
0.34104970760233916,Medium
0.2892309941520468,Low
0.3650321637426901,Medium
0.7287192982456141,High
0.4251198830409357,Medium
0.4806052631578947,Medium
0.5047397660818713,Medium
0.4202807017543859,Medium
0.4034444444444444,Medium
0.34349415204678363,Medium
0.5538070175438596,Medium
0.32147076023391813,Medium
0.8120175438596491,High
0.9189678362573099,High
0.9248421052631579,High
0.41575438596491227,Medium
0.7745292397660819,High
0.12335380116959065,Low
0.44953216374269006,Medium
0.5883479532163742,Medium
0.09199707602339181,Low
0.0888391812865497,Low
0.663888888888889,High
0.6501228070175438,High
0.9353801169590643,High
0.13703801169590643,Low
0.9385263157894737,High
0.3491695906432748,Medium
0.6958742690058479,High
0.5816842105263158,Medium
0.789312865497076,High
0.6051111111111112,High
0.6845058479532165,High
0.5790497076023391,Medium
0.6743391812865497,High
0.3991491228070175,Medium
0.38073684210526315,Medium
0.4915497076023392,Medium
0.3716695906432748,Medium
0.5462368421052632,Medium
0.8090994152046784,High
0.12882456140350876,Low
0.33409649122807017,Medium
0.2620847953216374,Low
0.1155672514619883,Low
0.6036929824561403,High
0.5161315789473684,Medium
0.5991578947368421,Medium
0.09010233918128656,Low
0.7307397660818714,High
0.45217251461988306,Medium
0.4203479532163743,Medium
0.6781198830409356,High
0.1562076023391813,Low
0.20062573099415207,Low
0.4068216374269006,Medium
0.4755116959064327,Medium
0.5294970760233918,Medium
0.478359649122807,Medium
0.30357602339181283,Medium
0.8707368421052631,High
0.35513450292397664,Medium
0.8490847953216374,High
0.7993918128654971,High
0.5938976608187134,Medium
0.8684415204678362,High
0.10335964912280701,Low
0.19915497076023392,Low
0.4799122807017544,Medium
0.3967982456140351,Medium
0.34418713450292393,Medium
0.4486111111111111,Medium
0.9414795321637427,High
0.7930818713450292,High
0.12461403508771929,Low
0.43785380116959066,Medium
0.507093567251462,Medium
0.23761988304093568,Low
0.3816374269005848,Medium
0.1776549707602339,Low
0.3260672514619883,Medium
0.48583625730994157,Medium
0.3073625730994152,Medium
0.6792134502923977,High
0.16312573099415206,Low
0.5629561403508772,Medium
0.3263040935672515,Medium
0.8749473684210527,High
0.593514619883041,Medium
0.19700584795321635,Low
0.6533479532163743,High
0.45346783625730996,Medium
0.4422748538011696,Medium
0.7674239766081872,High
0.3087485380116959,Medium
0.3401111111111111,Medium
0.41764035087719303,Medium
0.3705058479532164,Medium
0.5477456140350877,Medium
0.5101374269005848,Medium
0.13304970760233917,Low
0.1976812865497076,Low
0.4113450292397661,Medium
0.5439035087719298,Medium
0.4239619883040936,Medium
0.1113654970760234,Low
0.35699415204678364,Medium
0.14883333333333335,Low
0.17301461988304093,Low
0.5160935672514619,Medium
0.6013479532163744,High
0.42482456140350877,Medium
0.5623245614035088,Medium
0.9618947368421054,High
0.490985380116959,Medium
0.5454152046783626,Medium
0.268140350877193,Low
0.87856432748538,High
0.9726315789473684,High
0.09431286549707603,Low
0.6165526315789474,High
0.4342748538011696,Medium
0.9374766081871345,High
0.4199619883040936,Medium
0.5954502923976608,Medium
0.5657982456140351,Medium
0.7334736842105263,High
0.3433654970760234,Medium
0.5807865497076024,Medium
0.875812865497076,High
0.2075730994152047,Low
0.11326023391812866,Low
0.5067690058479533,Medium
0.28559941520467835,Low
0.5251959064327485,Medium
0.6432017543859649,High
0.6905263157894737,High
